iter	Logloss
0	0.6919711446
1	0.6912116917
2	0.6902191968
3	0.6891662426
4	0.6883541547
5	0.6876377408
6	0.6867241424
7	0.6858456457
8	0.6849842091
9	0.6843209477
10	0.6834567522
11	0.6826427182
12	0.6820960945
13	0.6813791736
14	0.6806299503
15	0.6799739339
16	0.6793112705
17	0.6786693851
18	0.6779916303
19	0.6773111094
20	0.6764656583
21	0.6758333139
22	0.6751140056
23	0.6745472108
24	0.6740833366
25	0.6733173826
26	0.6726455559
27	0.6718895312
28	0.6711670516
29	0.6705829895
30	0.6698434757
31	0.6692609983
32	0.6687520669
33	0.6679183501
34	0.6673286671
35	0.6668059401
36	0.6661988628
37	0.6657226638
38	0.6651715782
39	0.6646697333
40	0.6642241012
41	0.6637570021
42	0.6632902282
43	0.6627936831
44	0.6622108834
45	0.6616629518
46	0.661256988
47	0.6606107293
48	0.6599396776
49	0.6593960396
50	0.6587164405
51	0.6583372867
52	0.6576323784
53	0.6570909657
54	0.6564183161
55	0.6557552998
56	0.6554781047
57	0.6551889712
58	0.6548317493
59	0.6543655994
60	0.6539048492
61	0.6534329059
62	0.652949184
63	0.6525467397
64	0.6520481332
65	0.6516412104
66	0.6512564492
67	0.6507850006
68	0.6504818674
69	0.6500477169
70	0.6496053346
71	0.6492378142
72	0.6488470948
73	0.6482284246
74	0.6478846159
75	0.64745907
76	0.6472209393
77	0.6469133932
78	0.6464078502
79	0.6460158392
80	0.6456035431
81	0.6450125422
82	0.6445625977
83	0.6443394557
84	0.6439841951
85	0.6437575151
86	0.6432891118
87	0.642774766
88	0.6423533009
89	0.641934705
90	0.6416596782
91	0.6414029443
92	0.6410723981
93	0.6408166991
94	0.6404829727
95	0.6402554123
96	0.6399294714
97	0.6395579519
98	0.6391067288
99	0.6386849467
100	0.6384401449
101	0.6380274319
102	0.6378297931
103	0.6373872746
104	0.6369171427
105	0.6366471969
106	0.6363663051
107	0.6359640905
108	0.6356644016
109	0.6352994171
110	0.6348566534
111	0.634378162
112	0.6338814602
113	0.6335875627
114	0.6332827835
115	0.6330625456
116	0.632734917
117	0.6324743314
118	0.6321953708
119	0.6318207671
120	0.6314154273
121	0.6310051723
122	0.6307123394
123	0.6304774534
124	0.6299757588
125	0.6296039474
126	0.6291855479
127	0.6287818369
128	0.6285679866
129	0.6283486781
130	0.6281106877
131	0.6276194576
132	0.6273759047
133	0.627172544
134	0.6268593362
135	0.6266377519
136	0.6264169114
137	0.6259951756
138	0.6257498841
139	0.6254299118
140	0.625137936
141	0.6247403661
142	0.6245672412
143	0.6241880166
144	0.623944344
145	0.6234501292
146	0.6231798376
147	0.6229250382
148	0.6226514335
149	0.6223356489
150	0.6218599671
151	0.6216139254
152	0.6213943371
153	0.6211649921
154	0.6208195529
155	0.6205225443
156	0.6203232381
157	0.6200508669
158	0.619703142
159	0.6194201124
160	0.619116901
161	0.618673346
162	0.6184268785
163	0.6181402463
164	0.6179374222
165	0.6175921184
166	0.6172407648
167	0.6170063316
168	0.6167451734
169	0.6164272272
170	0.6160469366
171	0.615716317
172	0.6154686124
173	0.6152254295
174	0.6150145423
175	0.6148873833
176	0.6146177746
177	0.6143609379
178	0.614082209
179	0.6138261899
180	0.6136152077
181	0.6131691735
182	0.6128576934
183	0.6125196547
184	0.6122060389
185	0.6119444257
186	0.6115754129
187	0.6111616769
188	0.6108278271
189	0.6106172002
190	0.6102000656
191	0.6098513938
192	0.6096259077
193	0.6092922581
194	0.6090847477
195	0.608741811
196	0.6085884291
197	0.6081696326
198	0.6079840928
199	0.6077354767
200	0.6074447038
201	0.6070889734
202	0.6067563878
203	0.6064532569
204	0.6062280425
205	0.606010832
206	0.6057930243
207	0.60556225
208	0.6053674828
209	0.6050859247
210	0.6048171297
211	0.6045736122
212	0.6042421858
213	0.6039942729
214	0.6038570365
215	0.6035556322
216	0.6032973173
217	0.6030809789
218	0.6029138033
219	0.6025859538
220	0.602266141
221	0.6019783624
222	0.6016338298
223	0.6012847448
224	0.6011151918
225	0.6008709408
226	0.6007212274
227	0.6004998807
228	0.600272099
229	0.5999417041
230	0.5995915462
231	0.5994047184
232	0.5990060335
233	0.5987278607
234	0.5985793966
235	0.5983619574
236	0.5981132825
237	0.5978622793
238	0.5976048238
239	0.5974775152
240	0.597243376
241	0.5970853447
242	0.596898469
243	0.5966141616
244	0.5963380941
245	0.596139648
